filepath,filename,Teff_K,g_mps2,logg_cgs
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t472.3506158802271g22.632316960620123.npy,t472.3506158802271g22.632316960620123.npy,472.3506158802271,22.632316960620123,3.354729016690203
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t523.1961024792852g358.37462049569456.npy,t523.1961024792852g358.37462049569456.npy,523.1961024792852,358.37462049569456,4.5543372460544
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t584.5209397260815g603.8092815156917.npy,t584.5209397260815g603.8092815156917.npy,584.5209397260815,603.8092815156917,4.780899784540122
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t630.0006582166752g1693.02862838364.npy,t630.0006582166752g1693.02862838364.npy,630.0006582166752,1693.02862838364,5.228664301903336
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t683.3191058819223g1467.0525076906188.npy,t683.3191058819223g1467.0525076906188.npy,683.3191058819223,1467.0525076906188,5.166445658077911
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t740.7221424978793g2828.831957785712.npy,t740.7221424978793g2828.831957785712.npy,740.7221424978793,2828.831957785712,5.451607149657778
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t790.3769135035916g2056.7149450539773.npy,t790.3769135035916g2056.7149450539773.npy,790.3769135035916,2056.7149450539773,5.313174103863555
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t832.5278199818325g534.9346615090398.npy,t832.5278199818325g534.9346615090398.npy,832.5278199818325,534.9346615090398,4.728300739256776
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t869.5716202210731g1976.2193468008604.npy,t869.5716202210731g1976.2193468008604.npy,869.5716202210731,1976.2193468008604,5.295835146637427
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t920.3427714874017g203.53174030507876.npy,t920.3427714874017g203.53174030507876.npy,920.3427714874017,203.53174030507876,4.30863214606469
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t974.3807511826608g2968.1255689422715.npy,t974.3807511826608g2968.1255689422715.npy,974.3807511826608,2968.1255689422715,5.472482270173418
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t985.2190114049117g1046.291541349827.npy,t985.2190114049117g1046.291541349827.npy,985.2190114049117,1046.291541349827,5.019652714318734
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t985.421181626102g2418.642689992122.npy,t985.421181626102g2418.642689992122.npy,985.421181626102,2418.642689992122,5.38357171407229
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t999.8471572701442g2003.9820084425012.npy,t999.8471572701442g2003.9820084425012.npy,999.8471572701442,2003.9820084425012,5.301893818158672
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1044.8224577246915g122.15862366601215.npy,t1044.8224577246915g122.15862366601215.npy,1044.8224577246915,122.15862366601215,4.086924130976791
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1063.5378582827498g2313.2794249250665.npy,t1063.5378582827498g2313.2794249250665.npy,1063.5378582827498,2313.2794249250665,5.364228095102469
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1079.7992765365211g1556.1460105917254.npy,t1079.7992765365211g1556.1460105917254.npy,1079.7992765365211,1556.1460105917254,5.192050343694345
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1136.1362308231248g2257.322610837038.npy,t1136.1362308231248g2257.322610837038.npy,1136.1362308231248,2257.322610837038,5.353593631782194
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1166.3029108944627g2606.2463781501074.npy,t1166.3029108944627g2606.2463781501074.npy,1166.3029108944627,2606.2463781501074,5.416015468787659
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1200.093076864605g1784.4520544112743.npy,t1200.093076864605g1784.4520544112743.npy,1200.093076864605,1784.4520544112743,5.2515048835977325
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1225.7058485591833g2064.053457341064.npy,t1225.7058485591833g2064.053457341064.npy,1225.7058485591833,2064.053457341064,5.31472094098211
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1253.0270586044937g1082.0568603568015.npy,t1253.0270586044937g1082.0568603568015.npy,1253.0270586044937,1082.0568603568015,5.034250082850373
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1270.292782305211g2465.789486699228.npy,t1270.292782305211g2465.789486699228.npy,1270.292782305211,2465.789486699228,5.391955996563277
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1309.25680641979g3054.8145226424954.npy,t1309.25680641979g3054.8145226424954.npy,1309.25680641979,3054.8145226424954,5.484984846579149
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1351.6243204380194g1060.001475631001.npy,t1351.6243204380194g1060.001475631001.npy,1351.6243204380194,1060.001475631001,5.025306469847747
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1369.6818680668557g1858.6986211595147.npy,t1369.6818680668557g1858.6986211595147.npy,1369.6818680668557,1858.6986211595147,5.269208976765891
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1402.5663104100565g419.2684631147308.npy,t1402.5663104100565g419.2684631147308.npy,1402.5663104100565,419.2684631147308,4.622492196507204
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1434.6237805136786g1810.9604362929638.npy,t1434.6237805136786g1810.9604362929638.npy,1434.6237805136786,1810.9604362929638,5.257908962469035
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1465.0196844016696g1477.5758142360305.npy,t1465.0196844016696g1477.5758142360305.npy,1465.0196844016696,1477.5758142360305,5.1695497737222516
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1489.725055781985g2604.3669252828668.npy,t1489.725055781985g2604.3669252828668.npy,1489.725055781985,2604.3669252828668,5.41570217129383
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1521.7950928737425g1131.6692576149926.npy,t1521.7950928737425g1131.6692576149926.npy,1521.7950928737425,1131.6692576149926,5.053719518211974
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1566.670706518689g1763.2034365075706.npy,t1566.670706518689g1763.2034365075706.npy,1566.670706518689,1763.2034365075706,5.24630242361839
C:\Users\Alex\Desktop\Picaso\NN_project\sample_out\t1617.8997022651074g2082.957875911686.npy,t1617.8997022651074g2082.957875911686.npy,1617.8997022651074,2082.957875911686,5.318680487209343
